fips,tract_name,Geo_LOGRECNO,geo_tract,Geo_AREALAND,Geo_AREAWATR,Geo_GCUNI,total_hu,Geo_INTPTLAT,Geo_INTPTLON,total_pop,nhw,nhb,nhamin,nha,latino,pct_nhw,pct_nhb,pct_nhamin,pct_nha,pct_latino,ohu,ohu_oo,ohu_ro,pct_oo,pct_ro
6037109100,Census Tract 1091,317183,109100,2707544,0,Y,775,+34.2771693,-118.4631511,2492,728,67,6,231,1430,29.21,2.69,0.24,9.27,57.38,731,574,157,78.52,21.48
6037109200,Census Tract 1092,317186,109200,1193102,0,Y,899,+34.2779980,-118.4746272,2669,1006,94,5,486,1005,37.69,3.52,0.19,18.21,37.65,873,668,205,76.52,23.48
6037109300,Census Tract 1093,317190,109300,1233086,0,Y,898,+34.2711982,-118.4804333,3085,1010,125,6,511,1352,32.74,4.05,0.19,16.56,43.82,877,733,144,83.58,16.42
6037109400,Census Tract 1094,317194,109400,1291624,0,N,1068,+34.2687178,-118.4556969,3720,519,89,18,231,2790,13.95,2.39,0.48,6.21,75,1021,776,245,76,24
6037109500,Census Tract 1095,317198,109500,1193707,0,Y,1054,+34.2703268,-118.4389293,4303,134,40,6,105,3983,3.11,0.93,0.14,2.44,92.56,1005,612,393,60.9,39.1
6037109601,Census Tract 1096.01,317202,109601,2214586,33281,Y,1323,+34.2593157,-118.4495333,5020,753,148,7,508,3516,15,2.95,0.14,10.12,70.04,1276,977,299,76.57,23.43
6037109603,Census Tract 1096.03,317207,109603,998890,0,Y,1316,+34.2536518,-118.4654157,4252,761,191,13,459,2761,17.9,4.49,0.31,10.79,64.93,1265,756,509,59.76,40.24
6037109604,Census Tract 1096.04,317211,109604,1174873,0,Y,920,+34.2615445,-118.4653518,2975,708,116,4,286,1800,23.8,3.9,0.13,9.61,60.5,889,649,240,73,27
6037109700,Census Tract 1097,317215,109700,1586858,0,Y,1400,+34.2619343,-118.4808881,4493,1585,122,15,752,1890,35.28,2.72,0.33,16.74,42.07,1348,1107,241,82.12,17.88
6037109800,Census Tract 1098,317219,109800,1399405,0,Y,1460,+34.2537115,-118.4815974,4565,1518,135,18,671,2110,33.25,2.96,0.39,14.7,46.22,1402,1070,332,76.32,23.68
6037111100,Census Tract 1111,317224,111100,1059243,0,N,942,+34.2683099,-118.4950694,2982,1171,103,3,456,1170,39.27,3.45,0.1,15.29,39.24,913,725,188,79.41,20.59
6037111201,Census Tract 1112.01,317227,111201,1912806,0,Y,1130,+34.2748338,-118.5101489,3410,1703,92,4,498,995,49.94,2.7,0.12,14.6,29.18,1093,957,136,87.56,12.44
6037111202,Census Tract 1112.02,317231,111202,1866694,0,N,1938,+34.2684432,-118.5148271,5213,2617,147,13,843,1421,50.2,2.82,0.25,16.17,27.26,1836,1143,693,62.25,37.75
6037111204,Census Tract 1112.04,317235,111204,3294682,16599,N,1955,+34.2619679,-118.5474393,5859,3443,224,6,1154,871,58.76,3.82,0.1,19.7,14.87,1917,1808,109,94.31,5.69
6037111205,Census Tract 1112.05,317239,111205,1141320,17738,Y,1298,+34.2540547,-118.5352005,3375,1397,154,1,1096,610,41.39,4.56,0.03,32.47,18.07,1246,861,385,69.1,30.9
6037111206,Census Tract 1112.06,317243,111206,2611196,11547,Y,1538,+34.2690645,-118.5343557,4490,2556,133,7,730,931,56.93,2.96,0.16,16.26,20.73,1497,1370,127,91.52,8.48
6037111301,Census Tract 1113.01,317249,111301,2001345,0,N,2778,+34.2611290,-118.5157706,7087,2663,389,6,1627,2080,37.58,5.49,0.08,22.96,29.35,2635,937,1698,35.56,64.44
6037111302,Census Tract 1113.02,317254,111302,1552799,0,N,1915,+34.2539511,-118.5128425,4786,2402,278,8,905,1023,50.19,5.81,0.17,18.91,21.37,1810,909,901,50.22,49.78
6037111400,Census Tract 1114,317257,111400,1812030,0,N,2847,+34.2578116,-118.496182,7560,3122,252,6,1533,2427,41.3,3.33,0.08,20.28,32.1,2752,1109,1643,40.3,59.7
6037113101,Census Tract 1131.01,317261,113101,2262288,2714,Y,1140,+34.2654115,-118.5852975,3558,2150,110,14,437,731,60.43,3.09,0.39,12.28,20.55,1118,978,140,87.48,12.52
6037113102,Census Tract 1131.02,317264,113102,3656859,16997,Y,967,+34.2660306,-118.5686167,2828,1888,93,1,388,369,66.76,3.29,0.04,13.72,13.05,943,901,42,95.55,4.45
