Geo_QName,Geo_NAME,Geo_FIPS,Geo_CT,00P,00WNH,00BNH,00ANH,00L,00WNH_P,00BNH_P,00ANH_P,00L_P,00O25,00COL,00COL_P,00O16,00U,00U_P,00INC,00OHU,00OO,00RO,00OO_P,00RO_P,00VAL,00RENT
"Census Tract 1066.45, Los Angeles County, California",Census Tract 1066.45,6037106645,106645,2990.183,1872.691,98.66017,464.0967,433.5143,62.63,3.3,15.52,14.5,2164.734785,1288.893378,59.54047521,1508.433404,65.16374199,4.32,75219.38125,1053.316308,923.9648038,129.3515041,87.72,12.28,270648.0289,1285.560722
"Census Tract 1066.46, Los Angeles County, California",Census Tract 1066.46,6037106646,106646,3121.741,1794.938,109.0493,467.1012,633.4807,57.5,3.49,14.96,20.29,2178.916936,1047.470259,48.07297799,1588.295944,66.73107878,4.2,67242.25161,1052.620118,904.8860066,147.7341117,85.97,14.03,229699.0513,1246.121394
"Census Tract 1066.48, Los Angeles County, California",Census Tract 1066.48,6037106648,106648,3663,435.6817,112.0684,247.4319,2795.414,11.89,3.06,6.75,76.31,1981.973874,193.9161224,9.783989835,1555.736164,96.95806119,6.23,52262.00341,865.6969749,611.9690615,253.7279134,70.69,29.31,173920.4001,633.0964912
"Census Tract 1066.49, Los Angeles County, California",Census Tract 1066.49,6037106649,106649,2330.69,278.0711,70.6083,158.3833,1777.022,11.93,3.03,6.8,76.24,1263.892667,131.6790504,10.41853109,986.7670136,61.99752062,6.28,51925.5471,552.0857259,385.347314,166.7384118,69.8,30.2,174022.6324,633.8687141
"Census Tract 1070.10, Los Angeles County, California",Census Tract 1070.10,6037107010,107010,3225,307,25,40,2804,9.52,0.78,1.24,86.95,1716,98,5.710955711,1222,55,4.5,42650.26722,655,510,145,77.86,22.14,151858.4969,902.0625
"Census Tract 1070.20, Los Angeles County, California",Census Tract 1070.20,6037107020,107020,4299,349,62,64,3768,8.12,1.44,1.49,87.65,2238,215,9.606791778,1622,172,10.6,46140.24731,949,659,290,69.44,30.56,150178.3406,745.7333333
"Census Tract 1081.01, Los Angeles County, California",Census Tract 1081.01,6037108101,108101,2251,1526,30,480,120,67.79,1.33,21.32,5.33,1682,882,52.43757432,1235,63,5.1,67361.3322,783,707,76,90.29,9.71,304447.7435,1510.847826
"Census Tract 1081.02, Los Angeles County, California",Census Tract 1081.02,6037108102,108102,3685.35,2204.887,65.53489,997.9993,301.3463,59.83,1.78,27.08,8.18,2660.279284,1929.726307,72.53848567,2068.433415,100.7967348,4.87,89058.7857,1305.434216,1179.982872,125.4513442,90.39,9.61,326767.6172,1765.047981
"Census Tract 1081.03, Los Angeles County, California",Census Tract 1081.03,6037108103,108103,3538.849,2013.59,32.6887,1151.052,209.6261,56.9,0.92,32.53,5.92,2371.315402,2138.817762,90.19541477,1862.864536,45.73963073,2.46,110345.7463,1073.214995,1002.347835,70.86716009,93.4,6.6,435340.4878,1990.65807
"Census Tract 1081.04, Los Angeles County, California",Census Tract 1081.04,6037108104,108104,1727.521,1172.582,51.22633,346.8103,104.5743,67.88,2.97,20.08,6.05,1183.475052,1033.586648,87.33489109,961.7459016,36.28873098,3.77,109647.7799,573.8104656,539.4520065,34.3584592,94.01,5.99,315608.6065,1771.206305
